customer_tweet_id,customer_message,amazon_reply,intent,should_escalate,escalation_reason,Unnamed: 6,predicted_intent,predicted_escalation,correct_escalation
735276,@AmazonHelp You're missing the point I paid for next day delivery and here we are 2 days later and I still haven't got it,@150360 We can't see accounts w/ Twitter so please reach out to us so we can look into options for the order: https://t.co/JzP7hlA23B ^DD,delivery_issue,yes,Paid for expedited delivery but the package is delayed.,,delivery_issue,yes,True
2905045,"@AmazonHelp I just looked and there hasnât been any purchases in the last week or two, and i think my card info was on there from me ordering something.",@804489 Go ahead and have your brother contact us by phone or chat here: https://t.co/hApLpMlfHN Our representative will locate the charges and provide options. Take care! ^DA,payment_billing,yes,Possible unauthorized payment/card-security concern requires investigation.,,order_issue,no,False
2141984,Pedir que te traigan un paquete que necesita urgentemente el lunes y que aÃºn no lo tengas demuestra la poca profesionalidad de @116928,@629831 Lamento si ha habido un retraso. Â¿CuÃ¡l fecha de entrega se te indicÃ³ al hacer el pedido? ^AR,delivery_issue,yes,Urgent package has not arrived; delivery problem needs attention.,,general_support,no,False
367413,@AmazonHelp But I need answers not questions that only you can answer...!,"@203037 Hi Nick, we don't have access to your account from here I'm afraid. What has been advised by CS on your contact? ^AT",general_support,yes,Customer is frustrated because previous support did not resolve the issue.,,general_support,no,False
2878723,"Hey @115821.  I can tell my package isn't going to be delivered today because you shipped with a carrier that can't get in to my building.  Pretty sure I asked for nothing but FedEx, UPS and USPS.  But sure, let's see if ""lasership"" can pull it off.",@179669 Thank you for contacting us Sean. We cannot assign specific carriers to orders but please keep us posted on the progression of this order.^GA,delivery_issue,yes,Carrier/access problem is preventing delivery,,delivery_issue,no,False
418990,@AmazonHelp We too tried to be in touch with customer care but instead of helping out they said they don't have any responsibility regarding this...,"@214939 with an update at the earliest. Also, please don't provide your order details, as we consider it to be personal 2/3 ^EM",general_support,yes,Customer has already contacted support without receiving a resolution.,,general_support,yes,True
2318213,"@115850 
what the hell!!? Why do I have to pay more from my prime account? Please explain. @117795  @115821 https://t.co/EfQnuuxqy4",@672038 I understand your concern about the price variance. I have checked from our end and the price seems to be the same i.e. Rs.749. Please recheck if the product is sold by the same seller. Different sellers may offer different prices for the same product. ^PJ,payment_billing,yes,Customer is questioning an unexpected charge/payment from their Prime account,,general_support,no,False
25906,@AmazonHelp There is no provision to make a reply...Why aren't you replying my question on amazon pay balance??? @115851 - #amazonsucks,@121656 Please check the link above and reply to our email. You will have an option to reply to the email. ^PS,payment_billing,yes,Directly concerns Amazon Pay balance/payment information.,,payment_billing,no,False
1947062,@116016 Iâve been trying to get an authorization chg from @115821 off my acct for a month. Missed call &amp; # left has been busy all day. Tips?,@334328 I'm sorry for the authorization trouble! Have you contacted the bank for insight on their policy to remove pending charges? ^BH,payment_billing,yes,An unresolved authorization charge has remained on the account for a month.,,general_support,no,False
627659,@2600 i got an external dvd drive that lasted only a few months and now it died with a brand new dvd inside.... thanks amazon for a double loss.,"@268653 Hello,
I'm sorry to hear that. Is the item sold by Amazon or a seller?
^MD",product_device_issue,yes,Product appears to have failed and may require troubleshooting/replacement.,,general_support,no,False
1369958,@115850 @115850 I am expecting a quick response,@438881 Please use the following link to connect with our support team : https://t.co/vlvfJr4nN9 and we'll be glad to help. ^SK,general_support,yes,Customer is requesting an unresolved support response.,,general_support,no,False
990743,@AmazonHelp Again my another order with  Order ID: #405-0991980-9519516 cancelled without my concern why amazon provide offers during great indian sale?,"@354687 I understand your concern that your order is cancelled without your knowledge, I'd request you ^SM (1/2)",order_issue,yes,Explicitly concerns an order cancellation and requires checking the order.,,order_issue,yes,True
